Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","pcb way logo",33.250000,56.579000,180.000000,bottom
"C1","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",11.000000,31.729000,0.000000,top
"C2","10uF","C_Elec_4x5.8",4.650000,57.329000,90.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",28.875000,4.379000,0.000000,top
"C4","47nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",21.975000,49.529000,0.000000,top
"C5","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",16.050000,54.129000,180.000000,top
"C6","10nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",22.425000,47.279000,0.000000,top
"C7","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",9.100000,41.253999,-90.000000,top
"C8","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",25.550000,42.329000,-90.000000,top
"C9","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",31.750000,53.329000,180.000000,top
"C10","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",28.900000,42.079000,0.000000,top
"C11","47nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",53.025000,49.729000,0.000000,top
"C12","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",46.724999,54.129000,180.000000,top
"C13","10nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",53.125000,47.829000,0.000000,top
"C14","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",60.125000,42.329000,0.000000,top
"C15","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.675000,53.879000,180.000000,top
"C16","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",56.500000,42.703999,-90.000000,top
"C17","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.100000,41.254000,-90.000000,top
"C18","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",20.524999,29.279000,180.000000,top
"C19","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",24.524999,29.229000,180.000000,top
"C20","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",28.750000,29.179000,180.000000,top
"C21","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",52.400000,29.629000,180.000000,top
"C22","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",56.600000,29.679000,180.000000,top
"C23","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",60.724999,29.729000,180.000000,top
"C24","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.950000,22.204000,-90.000000,top
"C25","DNI","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.925000,27.379000,0.000000,top
"C26","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",45.175000,33.229000,0.000000,top
"C27","10uF","C_Elec_4x5.8",61.050000,18.029000,-90.000000,top
"C28","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",57.600000,17.804000,-90.000000,top
"C29","DNI","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",52.925000,16.729000,0.000000,top
"C30","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",56.750000,22.629000,0.000000,top
"C31","10uF","C_Elec_4x5.8",44.650000,13.654000,180.000000,top
"D1","Power","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",43.850000,6.779000,0.000000,top
"D2","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",13.900000,59.729000,0.000000,top
"D3","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",20.475000,59.729000,0.000000,top
"D4","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",26.925000,59.679000,0.000000,top
"D5","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",44.925000,59.729000,0.000000,top
"D6","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",51.700000,59.679000,0.000000,top
"D7","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",58.175000,59.729000,0.000000,top
"J1","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical_H1.0mm",2.200000,13.259000,0.000000,top
"J2","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical_H1.0mm",2.200000,22.969000,0.000000,top
"J3","1x2","PinHeader_1x02_P2.54mm_Vertical_H1.0mm",2.200000,40.519000,0.000000,top
"J4","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical_H1.0mm",2.150000,32.719000,0.000000,top
"J5","1x2","PinHeader_1x02_P2.54mm_Vertical_H1.0mm",66.250000,10.229000,0.000000,top
"R1","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",43.725000,4.379000,0.000000,top
"R2","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",8.800000,12.029000,-90.000000,top
"R3","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",10.900000,12.003999,-90.000000,top
"R4","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",16.100000,23.454001,90.000000,top
"R5","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",34.275001,4.379000,180.000000,top
